pool,pool_address,fee_tier,TWAP,token_0_name,token_0_address,token_0_decimal,token_1_name,token_1_address,token_1_decimal
WETH-WPC,0x6ded0b6ddaeb335bf40c09b235f8dfdd13bcfb75,1,No,WETH,0x4200000000000000000000000000000000000006,18,WPC,0x6f620ec89b8479e97a6985792d0c64f237566746,18
WETH-WBTC,0x19847400661159f297cbef8a6fe567dd89a44bed,0.3,Yes,WETH,0x4200000000000000000000000000000000000006,18,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,8
WETH-USDT,0x3e096286ffd113c51cde56f22361a6849f67a0f1,0.3,No,WETH,0x4200000000000000000000000000000000000006,18,USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,6
WETH-USDC,0x1e31a2c6e6614273d740358affb46bef180efb7b,0.3,No,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0xf5484ad6c3a69c0ff33dfed4fdf5a4c7eea13634,1,No,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0x7086622e6db990385b102d79cb1218947fb549a9,0.05,Yes,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0xc3fafa11dc8555d1404e7a1046019ff892bda2b7,0.1,Yes,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0x11b072c5259ebd68e888a79c49bfff0bcf742983,0.01,No,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0x421bf64e342429992f6ce7c7e5c6a4db6993b732,1,No,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0x3a7ba3048fb3287051f6cb3df64233f13558132c,0.3,Yes,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0x37ae52069d199ea473dde0cb5f41b07aac937dd9,0.1,No,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0x1b67c104240478a98c7a5dfaec5dd4817c12f014,0.05,No,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-USDC,0x7f17b33e19ab6379de525073f95519d8ddebfd02,0.01,Yes,WETH,0x4200000000000000000000000000000000000006,18,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6
WETH-sUSD,0x7170bd6f5ab1ac44a1ba7a0beb5f3f06c2d4a898,1,Yes,WETH,0x4200000000000000000000000000000000000006,18,sUSD,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18
