synth_symbol,synth_proxy_address,decimals
sETH,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,18
sLINK,0xc5db22719a06418028a40a9b5e9a7c02959d0d08,18
sBTC,0x298b9b95708152ff6968aafd889c6586e9169f1d,18
sUSD,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18
sAAVE,0x00b8d5a5e1ac97cb4341c4bc4367443c8776e8d9,18
sUNI,0xf5a6115aa582fd1beea22bc93b7dc7a785f60d03,18
sEUR,0xfbc4198702e81ae77c06d58f81b629bdf36f0a71,18
sAVAX,0xb2b42b231c68cbb0b4bf2ffebf57782fd97d3da4,18
sMATIC,0x81ddfac111913d3d5218dea999216323b7cd6356,18
sSOL,0x8b2f7ae8ca8ee8428b6d76de88326bb413db2766,18
sINR,0xa3a538ea5d5838dc32dde15946ccd74bdd5652ff,18
