pool_address,token0,token1,fee
0x03af20bdaaffb4cc0a521796a223f7d85e2aac31,0x4200000000000000000000000000000000000006,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x827f0a2a4376bc26729f398b865f424dc8456841,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x73b14a78a0d396c521f954532d43fd5ffe385216,0x4200000000000000000000000000000000000006,0x68f180fcce6836688e9084f035309e29bf0a2095,3000
0xdd0c6bae8ad5998c358b823df15a2a4181da1b80,0x4200000000000000000000000000000000000006,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,3000
0x815ae7bf44dda74ed9274377ed711efc8b567911,0x4200000000000000000000000000000000000006,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0x95d9d28606ee55de7667f0f176ebfc3215cfd9c0,0x4200000000000000000000000000000000000006,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x2df05e4cdbd758cb1a99a34bb0d767e040d6b078,0x4200000000000000000000000000000000000006,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,10000
0x85c31ffa3706d1cce9d525a00f1c7d4a2911754c,0x4200000000000000000000000000000000000006,0x68f180fcce6836688e9084f035309e29bf0a2095,500
0x37ffd11972128fd624337ebceb167c8c0a5115ff,0x4200000000000000000000000000000000000006,0x68f180fcce6836688e9084f035309e29bf0a2095,10000
0xc858a329bf053be78d6239c4a4343b8fbd21472b,0x4200000000000000000000000000000000000006,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,500
0xb29a022ff4b37bdfb21e5f1daff4af5a22aa9510,0x4200000000000000000000000000000000000006,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,500
0x0392b358ce4547601befa962680bede836606ae2,0x4200000000000000000000000000000000000006,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,3000
0xfea834a5c47b923add607cc5b96288d18ffb9c3f,0x4200000000000000000000000000000000000006,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,10000
0xac721d2e27ca148f505b5106fc95e594c78ace5b,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,10000
0xa13514b5444e50067f6e48c386016b211773cf9e,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0xcf2aebb91fec906f51fc11cd57035a09d8b16965,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0xea0f33940eb221aaad9360891cab08ef4f1f0703,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x703eb589321f3dc7408e9dde01b790e64a9fe4e9,0x68f180fcce6836688e9084f035309e29bf0a2095,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,10000
0xc22662b904d98e45f89e030201355c3e372cc819,0x68f180fcce6836688e9084f035309e29bf0a2095,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,3000
0x1aa9b4d9933ff96b2011fddd764240d4a16b7c07,0x68f180fcce6836688e9084f035309e29bf0a2095,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x2459023a29d3b07711b8b916d86aa7e8a14747af,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0xadb35413ec50e0afe41039eac8b930d313e94fa4,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,500
0x84eb2c5c23999b3ddc87be10f15ccec5d22c7d97,0x4200000000000000000000000000000000000006,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,500
0x2e80d5a7b3c613d854ee43243ff09808108561eb,0x4200000000000000000000000000000000000006,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,3000
0x3d44cc727fe2f603e4929be164c70edb3b498b5f,0x4200000000000000000000000000000000000006,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,10000
