pool_address,pool_name,pool_type,token0_symbol,token1_symbol,token0_address,token1_address,token0_decimals,token1_decimals
0x47029bc8f5cbe3b464004e87ef9c9419a48018cd,vAMM-OP/USDC,volatile,OP,USDC,0x4200000000000000000000000000000000000042,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0x3eec44e94ee86ce79f34bb26dc3cdbbee18d6d17,vAMM-WETH/AELIN,volatile,WETH,AELIN,0x4200000000000000000000000000000000000006,0x61baadcf22d2565b0f471b291c475db5555e0b76,18,18
0x4c8b195d33c6f95a8262d56ede793611ee7b5aad,vAMM-WBTC/USDC,volatile,WBTC,USDC,0x68f180fcce6836688e9084f035309e29bf0a2095,0x7f5c764cbc14f9669b88837ca1490cca17c31607,8,6
0xfc77e39de40e54f820e313039207dc850e4c9e60,vAMM-OP/L2DAO,volatile,OP,L2DAO,0x4200000000000000000000000000000000000042,0xd52f94df742a6f4b4c8b033369fe13a41782bf44,18,18
0xcdd41009e74bd1ae4f7b2eecf892e4bc718b9302,vAMM-WETH/OP,volatile,WETH,OP,0x4200000000000000000000000000000000000006,0x4200000000000000000000000000000000000042,18,18
0xe47d437252fe9cb5e74396eee63360d8647df25d,vAMM-LYRA/sUSD,volatile,LYRA,sUSD,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18,18
0x85ff5b70de43fee34f3fa632addd9f76a0f6baa9,vAMM-SNX/sUSD,volatile,SNX,sUSD,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18,18
0x43ce87a1ad20277b78cae52c7bcd5fc82a297551,vAMM-WETH/DOLA,volatile,WETH,DOLA,0x4200000000000000000000000000000000000006,0x8ae125e8653821e851f12a49f7765db9a9ce7384,18,18
0x986d353a3700530be4e75794830f57e657bc68cb,vAMM-FRAX/OP,volatile,FRAX,OP,0x2e3d870790dc77a83dd1d18184acc7439a53f475,0x4200000000000000000000000000000000000042,18,18
0x9056eb7ca982a5dd65a584189994e6a27318067d,vAMM-USDC/SNX,volatile,USDC,SNX,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,6,18
0x9355292f66552ea5717b274d27eefc8254011d83,vAMM-THALES/USDC,volatile,THALES,USDC,0x217d47011b23bb961eb6d93ca9945b7501a5bb11,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0x207AddB05C548F262219f6bFC6e11c02d0f7fDbe,sAMM-USDC/LUSD,stable,USDC,LUSD,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xc40F949F8a4e094D1b49a23ea9241D289B7b2819,6,18
0x4F7ebc19844259386DBdDB7b2eB759eeFc6F8353,sAMM-USDC/DAI,stable,USDC,DAI,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,6,18
0xffb6c35960b23989037c8c391facebc8a17de970,vAMM-WETH/SNX,volatile,WETH,SNX,0x4200000000000000000000000000000000000006,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,18,18
0xf8edf2da8fcf610cf77235d3f90cc110723159aa,vAMM-DF/USX,volatile,DF,USX,0x9e5aac1ba1a2e6aed6b32689dfcf62a509ca96f3,0xbfd291da8a403daaf7e5e9dc1ec0aceacd4848b9,18,18
0x43C3f2d0aA0EbC433d654BB6ebf67F0C03f8D8d9,vAMM-OP/DAI,volatile,OP,DAI,0x4200000000000000000000000000000000000042,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18,18
0x6C5019D345Ec05004A7E7B0623A91a0D9B8D590d,sAMM-USDC/DOLA,stable,USDC,DOLA,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x8ae125e8653821e851f12a49f7765db9a9ce7384,6,18
0xFFD74EF185989BFF8752c818A53a47FC45388F08,vAMM-VELO/OP,volatile,VELO,OP,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x4200000000000000000000000000000000000042,18,18
0xdee1856d7b75abf4c1bdf986da4e1c6c7864d640,vAMM-LYRA/USDC,volatile,LYRA,USDC,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0xd62c9d8a3d4fd98b27caaefe3571782a3af0a737 ,sAMM-USDC/MAI,stable,USDC,MAI,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xdfa46478f9e5ea86d57387849598dbfb2e964b02,6,18
0xAdF902b11e4ad36B227B84d856B229258b0b0465,sAMM-FRAX/USDC,stable,FRAX,USDC,0x2e3d870790dc77a83dd1d18184acc7439a53f475,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0x9c8a59934fba9af82674eff5d13a24e7c7e7a1f1,vAMM-USDC/PERP,volatile,USDC,PERP,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x9e1028f5f1d5ede59748ffcee5532509976840e0,6,18
0x588443c932b45f47e936b969eb5aa6b5fd4f3369,vAMM-HND/USDC,volatile,HND,USDC,0x10010078a54396F62c96dF8532dc2B4847d47ED3,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0x7866C6072B09539fC0FDE82963846b80203d7beb,vAMM-USDC/agEUR,volatile,USDC,agEUR,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x9485aca5bbbe1667ad97c7fe7c4531a624c8b1ed,6,18
0xac49498b97312a6716ef312f389b7e4d183a2a7c,sAMM-FRAX/sUSD,stable,FRAX,sUSD,0x2e3d870790dc77a83dd1d18184acc7439a53f475,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18,18
0xe8537b6FF1039CB9eD0B71713f697DDbaDBb717d,vAMM-VELO/USDC,volatile,VELO,USDC,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x7f5c764cbc14f9669b88837ca1490cca17c31607,18,6
0x0d693efd716021878d5979fab4cf8f6c1b7ce450,sAMM-sUSD/LUSD,stable,sUSD,LUSD,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xc40F949F8a4e094D1b49a23ea9241D289B7b2819,18,18
0x6fd5bee1ddb4dbbb0b7368b080ab99b8ba765902,sAMM-alETH/WETH,stable,alETH,WETH,0x3E29D3A9316dAB217754d13b28646B76607c5f04,0x4200000000000000000000000000000000000006,18,18
0xd3650ab80545c31088f89fb6d16930796758f3c1,vAMM-OP/LYRA,volatile,OP,LYRA,0x4200000000000000000000000000000000000042,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,18,18
0xd16232ad60188B68076a235c65d692090caba155,sAMM-USDC/sUSD,stable,USDC,sUSD,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,6,18
0x46b8a98d72820e28465a172687af920cc167e587,vAMM-VELO/sUSD,volatile,VELO,sUSD,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18,18
0xfdad8f85c0f3895c85301f549d124ce526479bf8,sAMM-WBTC/renBTC,stable,WBTC,renBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,0x85f6583762bc76d775eab9a7456db344f12409f7,8,8
0x06141423dcf1a5a4c137039063ac873cdc1e363a,vAMM-VELO/WETH,volatile,VELO,WETH,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x4200000000000000000000000000000000000006,18,18
0xe75a3f4bf99882ad9f8aebab2115873315425d00,sAMM-USDC/alUSD,stable,USDC,alUSD,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xcb8fa9a76b8e203d8c3797bf438d8fb81ea3326a,6,18
0xe2ea57fdf87624f4384ef6da5f3844e8e9e5d878,vAMM-FRAX/FXS,volatile,FRAX,FXS,0x2e3d870790dc77a83dd1d18184acc7439a53f475,0x67ccea5bb16181e7b4109c9c2143c24a1c2205be,18,18
0x53bea2d15efe344b054e73209455d2b6aa1c9462,vAMM-OP/sUSD,volatile,OP,sUSD,0x4200000000000000000000000000000000000042,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18,18
0x051a9a47920a913914a9e6e961a230a2a464eeb2,vAMM-VELO/LYRA,volatile,VELO,LYRA,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,18,18
